Runde;Block;Gebot;Bietender
4;06A 2 GHz;6050000;Vodafone
4;07A 2 GHz;27500000;Vodafone
4;08A 2 GHz;25000000;1&1 Drillisch
4;09A 2 GHz (2026);3750000;Telefónica Deutschland
4;10A 2 GHz (2026);4537000;Telefónica Deutschland
4;11A 2 GHz (2026);23750000;1&1 Drillisch
4;12A 2 GHz (2026);26125000;Vodafone
4;01K 3,6 GHz;Kein Gebot;Kein Gebot
4;02A 3,6 GHz;1700000;Telekom
4;03A 3,6 GHz;1700000;Telekom
4;04A 3,6 GHz;1870000;Telefónica Deutschland
4;05A 3,6 GHz;1870000;Telefónica Deutschland
4;06A 3,6 GHz;1700000;Vodafone
4;07A 3,6 GHz;1700000;Vodafone
4;08A 3,6 GHz;1700000;Vodafone
4;09A 3,6 GHz;1700000;Vodafone
4;10A 3,6 GHz;1700000;Vodafone
4;11A 3,6 GHz;1870000;Telekom
4;12A 3,6 GHz;1870000;Telekom
4;13A 3,6 GHz;1870000;Telekom
4;14A 3,6 GHz;1870000;Telekom
4;15A 3,6 GHz;1870000;Telekom
4;16A 3,6 GHz;1870000;Telekom
4;17A 3,6 GHz;1870000;Telekom
4;18A 3,6 GHz;1870000;Vodafone
4;19A 3,6 GHz;1870000;Vodafone
4;20A 3,6 GHz;1870000;Telefónica Deutschland
4;21A 3,6 GHz;1870000;Telefónica Deutschland
4;22A 3,6 GHz;1870000;Telefónica Deutschland
4;23A 3,6 GHz;1870000;1&1 Drillisch
4;24A 3,6 GHz;21700000;1&1 Drillisch
4;25A 3,6 GHz;21700000;1&1 Drillisch
4;26A 3,6 GHz;21700000;1&1 Drillisch
4;27A 3,6 GHz;21700000;1&1 Drillisch
4;28A 3,6 GHz;21700000;1&1 Drillisch
4;29K 3,6 GHz;23870000;Telekom
5;01A 2 GHz;6050000;Telekom
5;02A 2 GHz;6050000;Telekom
5;03A 2 GHz;6050000;Telekom
5;04A 2 GHz;6050000;Telekom
5;05A 2 GHz;5500000;1&1 Drillisch
5;06A 2 GHz;6050000;Vodafone
5;07A 2 GHz;27500000;Vodafone
5;08A 2 GHz;25000000;1&1 Drillisch
5;09A 2 GHz (2026);4125000;1&1 Drillisch
5;10A 2 GHz (2026);4537000;Telefónica Deutschland
5;11A 2 GHz (2026);23750000;1&1 Drillisch
5;12A 2 GHz (2026);26125000;Vodafone
5;01K 3,6 GHz;Kein Gebot;Kein Gebot
5;02A 3,6 GHz;1700000;Telekom
5;03A 3,6 GHz;1700000;Telekom
5;04A 3,6 GHz;1870000;Telefónica Deutschland
5;05A 3,6 GHz;1870000;Telefónica Deutschland
5;06A 3,6 GHz;1870000;Telefónica Deutschland
5;07A 3,6 GHz;1870000;Telefónica Deutschland
5;08A 3,6 GHz;1870000;Telefónica Deutschland
5;09A 3,6 GHz;1870000;Telefónica Deutschland
5;10A 3,6 GHz;1700000;Vodafone
5;11A 3,6 GHz;1870000;Telekom
5;12A 3,6 GHz;1870000;Telekom
5;13A 3,6 GHz;1870000;Telekom
5;14A 3,6 GHz;1870000;Telekom
5;15A 3,6 GHz;1870000;Telekom
5;16A 3,6 GHz;1870000;Telekom
5;17A 3,6 GHz;1870000;Telekom
5;18A 3,6 GHz;1870000;Vodafone
5;19A 3,6 GHz;1870000;Vodafone
5;20A 3,6 GHz;1870000;Telefónica Deutschland
5;21A 3,6 GHz;1870000;Telefónica Deutschland
5;22A 3,6 GHz;1870000;Telefónica Deutschland
5;23A 3,6 GHz;1870000;1&1 Drillisch
5;24A 3,6 GHz;23870000;Vodafone
5;25A 3,6 GHz;23870000;Vodafone
5;26A 3,6 GHz;21700000;1&1 Drillisch
5;27A 3,6 GHz;21700000;1&1 Drillisch
5;28A 3,6 GHz;21700000;1&1 Drillisch
5;29K 3,6 GHz;23870000;Telekom
6;01A 2 GHz;6050000;Telekom
6;02A 2 GHz;6050000;Telekom
6;03A 2 GHz;6050000;Telekom
6;04A 2 GHz;6655000;Telefónica Deutschland
6;05A 2 GHz;6050000;Telefónica Deutschland
6;06A 2 GHz;6050000;Vodafone
6;07A 2 GHz;27500000;Vodafone
6;08A 2 GHz;25000000;1&1 Drillisch
6;09A 2 GHz (2026);4537000;Telefónica Deutschland
6;10A 2 GHz (2026);4537000;Telefónica Deutschland
6;11A 2 GHz (2026);23750000;1&1 Drillisch
6;12A 2 GHz (2026);26125000;Vodafone
6;01K 3,6 GHz;Kein Gebot;Kein Gebot
6;02A 3,6 GHz;1700000;Telekom
6;03A 3,6 GHz;1870000;1&1 Drillisch
6;04A 3,6 GHz;1870000;Telefónica Deutschland
